"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"Sécurité: En-tête X-Content-Type-Options manquant","Avertissement","Faible","10","100,000","URL qui n'ont pas l'en-tête de réponse « X-Content-Type-Options » avec une valeur « nosniff ». En l'absence d'un type MIME, les navigateurs peuvent « renifler » pour deviner le type de contenu et l'interpréter correctement pour les utilisateurs. Cependant, cela peut être exploité par des attaquants qui peuvent essayer de charger du code malveillant, tel que JavaScript, par une image qu'ils ont compromise.","Pour minimiser les problèmes de sécurité, l'en-tête de réponse X-Content-Type-Options doit être fourni et avec la valeur « nosniff » définie. Cela indique aux navigateurs de se fier uniquement à l'en-tête Content-Type et de bloquer tout ce qui ne correspond pas exactement. Cela signifie également que le type de contenu définii doit être précis.",""
"Versions canoniques: Manquant","Avertissement","Moyenne","6","100,000","Les pages qui ne disposent d'aucune URL canonique présente, soit sous forme d'élément de lien, soit via l'en-tête HTTP. Si une page n'indique pas d'URL canonique, Google identifiera ce qu'il pense être la meilleure version ou URL. Cela peut entraîner une imprévisibilité du classement lorsque plusieurs versions sont découvertes, et c'est pourquoi toutes les URL devraient généralement indiquer une version canonique.","Indiquez une URL canonique pour chaque page afin d'éviter toute imprévisibilité potentielle du classement si plusieurs versions de la même page sont découvertes sur des URL différentes.",""
"Sécurité: En-tête X-Frame-Options manquant","Avertissement","Faible","10","100,000","URL qui n'ont pas l'en-tête de réponse X-Frame-Options avec une valeur « DENY » ou « SAMEORIGIN ». Cela indique au navigateur de ne pas rendre une page dans un cadre, une iframe, une incorporation ou un objet. Cela permet d'éviter les attaques de type « détournement de clic », où votre contenu est affiché sur une autre page Web contrôlée par un attaquant.","Pour minimiser les problèmes de sécurité, l'en-tête de réponse X-Frame-Options doit être fourni avec une valeur « DENY » ou « SAMEORIGIN ».",""
"Meta description: Doublon","Opportunité","Faible","3","50,000","Pages comportant des doublons de méta-descriptions. Il est très important d'avoir des méta-descriptions distinctes et uniques qui communiquent les avantages et l'objectif de chaque page. Si elles sont en double ou non pertinentes, elles seront ignorées par les moteurs de recherche dans leurs extraits.","Mettez à jour les doublons de méta-description si nécessaire, afin que les pages importantes contiennent un titre unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"H2: Manquant","Avertissement","Faible","1","16,670","Pages dont le <h2> est manquant, dont le contenu est vide ou qui ont un espace blanc. Les sous-titres <h2> sont souvent utilisés pour décrire des sections ou des sujets dans un document. Ils servent de repères pour l'utilisateur et peuvent aider les moteurs de recherche à comprendre la page.","Envisagez d'utiliser des <h2> logiques et descriptifs sur les pages importantes, qui aident l'utilisateur et les moteurs de recherche à mieux comprendre la page.",""
"H1: Manquant","Problème","Moyenne","1","16,670","Pages dont le <h1> est manquant, le contenu est vide ou qui comportent un espace blanc. Les <h1> doivent décrire le titre principal et l'objectif de la page, et sont considérés comme l'un des signaux de classement les plus forts sur la page.","Veillez à ce que les pages importantes comportent des sous-titres concis, descriptifs et uniques afin d'aider les utilisateurs et de permettre aux moteurs de recherche de noter et de classer la page pour les requêtes de recherche correspondantes.",""
"Title des pages: Moins de 30 caractères","Opportunité","Moyenne","2","33,330","Pages dont le titre est inférieur à la limite configurée. Ce n'est pas nécessairement un problème, mais cela indique qu'il y a peut-être de la place pour cibler des mots-clés supplémentaires ou pour communiquer vos arguments clés.","Envisagez de mettre à jour le titre de la page afin de profiter de l'espace restant pour inclure d'autres mots-clés cibles ou arguments clés.",""
"Sécurité: En-tête Content-Security-Policy manquant","Avertissement","Faible","10","100,000","URL qui n'ont pas l'en-tête de réponse Content-Security-Policy. Cet en-tête permet à un site Web de contrôler quelles ressources sont chargées pour une page. Cette politique peut aider à se protéger contre les attaques de type script intersites (XSS) qui exploitent la confiance du navigateur dans le contenu reçu du serveur. Le SEO Spider ne vérifie que l'existence de l'en-tête et n'interroge pas les politiques qu'il contient pour déterminer si elles sont bien configurées pour le site Web. Cette opération doit être effectuée manuellement.","Définissez un en-tête de réponse Content-Security-Policy strict pour toutes les pages afin d'atténuer les attaques par script intersites (XSS) et par injection de données.",""
"Title des pages: Doublon","Opportunité","Moyenne","2","33,330","Pages dont les titres sont dupliqués. Il est très important de disposer de titres de page distincts et uniques pour chaque page. Si toutes les pages ont le même titre, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de titre de page si nécessaire, afin que chaque page contienne un titre unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Contenu: Pages à faible contenu","Opportunité","Moyenne","4","66,670","Pages dont le nombre de mots est inférieur à la valeur par défaut de 200 mots. Le nombre de mots est basé sur les paramètres de la zone de contenu utilisée dans l'analyse, qui peuvent être configurés dans Configuration > Contenu > Domaine. En réalité, il n'y a pas de nombre de mots minimum pour les pages, mais les moteurs de recherche ont besoin d'un texte descriptif pour comprendre l'objectif d'une page. Ce filtre ne doit être utilisé qu'à titre indicatif pour aider à identifier les pages qui pourraient être améliorées par l'ajout d'un contenu plus descriptif dans le contexte du site Web et de l'objectif de la page. Certains sites Web, tels que les sites de commerce électronique, auront naturellement un nombre de mots inférieur, ce qui peut être acceptable si les détails d'un produit peuvent être communiqués efficacement.","Pensez à inclure un contenu descriptif supplémentaire pour aider l'utilisateur et les moteurs de recherche à mieux comprendre la page.",""
"Codes de réponse: Externes, erreur du client (4xx)","Avertissement","Faible","1","5,880","URL externes avec une erreur côté client. Cela indique qu'un problème est survenu lors de la demande d'URL et peut inclure des réponses telles que 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests et plus encore. La réponse 404 « Page Not Found » est la plus courante et est souvent considérée comme un lien brisé. Affichez les URL liées à des erreurs en utilisant l'onglet « Liens entrants » de la fenêtre inférieure et exportez-les en bloc via Exportation en bloc > Codes de réponse > Externe > Liens entrants Erreur du client (4xx).","Tous les liens d'un site Web devraient idéalement aboutir à des URL 200 « OK ». Les erreurs telles que les liens brisés 404 doivent être mises à jour afin que les utilisateurs soient dirigés vers la bonne URL, ou supprimées. Une erreur 403 Forbidden se produit lorsqu'un serveur Web refuse l'accès à la demande du SEO Spider et peut souvent être résolue en remplaçant le User-Agent par Chrome via Configuration > User-Agent. S'ils peuvent être visualisés dans un navigateur, ce n'est souvent pas un problème.",""
"Sécurité: Formulaire sur l'URL HTTP","Problème","Élevée","2","20,000","Cela indique qu'un formulaire se trouve sur une page HTTP. Toutes les données saisies dans le formulaire, y compris les noms d'utilisateur et les mots de passe, ne sont pas sécurisées. Le formulaire peut être consulté en cliquant sur l'URL dans la fenêtre supérieure, puis sur l'onglet « Détails de l'URL » dans la fenêtre inférieure, ce qui permet d'afficher les détails du formulaire sur l'URL HTTP.","Toutes les pages HTTP contenant des formulaires doivent être changées en HTTPS pour éviter les risques de sécurité pour les utilisateurs et les problèmes de chargement dans un navigateur.",""
"H1: Doublon","Opportunité","Faible","2","33,330","Pages qui présentent des doublons de <h1>. Il est important de disposer de sous-titres principaux distincts, uniques et utiles. Si chaque page a le même <h1>, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de <h1> comme nécessaire, afin que les pages importantes contiennent un <h1> unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"H2: Doublon","Opportunité","Faible","4","66,670","Pages qui présentent des doublons de <h2>. Il est important de disposer de pages distinctes, uniques et utiles. Si chaque page a le même <h2>, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de <h2> comme nécessaire, afin que les pages importantes contiennent un <h2> unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
